id,yearBuilt,numberOfFloors,energyStarScore,electricity,emissionsIntensity
465,1929,8,22.0,47204201.0,0.5
25199,1925,3,22.0,161298.0,4.5
20885,1966,2,22.0,3215930.0,9.8
562,1996,4,22.0,5948365.0,1.3
238,1957,2,23.0,6654529.0,1.6
26939,1925,2,23.0,520046.0,2.4
839,2003,6,23.0,5596175.0,4.5
25276,1962,1,23.0,755480.0,3.8
21944,1982,33,23.0,7273186.0,1.4
23076,1965,2,23.0,696887.0,1.6
23287,2008,26,24.0,17841293.0,1.1
22308,1969,7,24.0,2558670.0,0.6
19,1922,11,24.0,3251539.0,5.2
21904,1974,3,24.0,3622749.0,0.2
23106,1973,5,24.0,1507442.0,0.8
23679,1977,3,24.0,1109224.0,0.1
25914,1998,1,24.0,8220914.0,7.6
23918,1963,2,24.0,1197972.0,1.3
28068,2007,11,24.0,6068723.0,1.7
20273,1993,3,24.0,1144171.0,3.4
50006,2014,6,25.0,1345319.0,0.1
26321,1968,3,25.0,2205557.0,0.1
585,1961,3,25.0,11007190.0,2.3
798,1969,1,25.0,2071460.0,2.6
27488,1953,1,25.0,477035.0,1.3
27378,1997,1,25.0,8226025.0,8.6
19860,1906,5,25.0,1834909.0,0.2
22818,1980,1,25.0,344386.0,1.2
25935,1956,2,25.0,244687.0,1.9
25604,1963,8,26.0,326542.0,2.4
565,2006,3,26.0,5703110.0,0.4
21181,1980,3,26.0,2235504.0,0.2
24693,1966,4,26.0,417037.0,3.3
539,1987,2,26.0,3671165.0,0.1
26720,1906,4,26.0,1397582.0,0.1
26529,1950,1,26.0,5275440.0,5.4
22955,1998,5,26.0,2657386.0,2.1
23762,1977,1,26.0,930674.0,0.1
19922,1979,13,26.0,3478882.0,0.1
21502,2010,8,26.0,1556757.0,0.8
23177,2000,3,27.0,1193777.0,0.1
26550,1965,10,27.0,6616240.0,4.2
24363,1962,2,27.0,289200.0,3.3
22142,1953,1,27.0,5168327.0,7.7
26460,1979,2,27.0,3668917.0,0.5
23458,1906,2,27.0,336993.0,0.0
363,1978,2,27.0,5299924.0,0.5
21330,1962,5,27.0,500143.0,4.5
20320,1984,4,27.0,1530430.0,0.1
40034,1960,0,27.0,1225485.0,6.7
23774,1997,5,27.0,4830310.0,1.4
